Date of Complaint,Date of Closure,Street,City,State,ZIP,Cable Provider,Billing,Service,Internet,Telephone Answering Time,Reception,Construction,Marketing,Installation,Cable Service Availability,Cable Line Related,Telephone Service,Other,Type,Location
9/2/2003,9/5/2003,Lynn Manor Dr,Rockville,MD,20850,Comcast,1,,,,,,,,,,,,Complaint,"Lynn Manor Dr
Rockville, MD 20850"
9/2/2003,9/9/2003,Pine Av,Takoma Park,MD,20912,Comcast,,,,,,,,,,,,1,Complaint,"Pine Av
Takoma Park, MD 20912"
9/2/2003,9/11/2003,Columiba Av,Rockville,MD,20850,Comcast,,,,,,1,,,,,,,Complaint,"Columiba Av
Rockville, MD 20850"
9/2/2003,9/29/2003,Plantation Ct,Rockville,MD,20852,Comcast,,,,,,,,1,,,,,Complaint,"Plantation Ct
Rockville, MD 20852"
9/2/2003,9/6/2003,Toulone Dr,Potomac,MD,20854,Comcast,,,,1,1,,,,,,,,Complaint,"Toulone Dr
Potomac, MD 20854"
9/2/2003,10/16/2003,Brandy Hall Ln,North Potomac,MD,20878,Comcast,,1,1,,,,,,,,,,Complaint,"Brandy Hall Ln
North Potomac, MD 20878"
9/2/2003,9/12/2003,Royal Oak Ct,Rockville,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Royal Oak Ct
Rockville, MD 20854"
9/2/2003,9/11/2003,Caddy Ct,Derwood,MD,20885,Comcast,,,1,,,,,,,,,,Complaint,"Caddy Ct
Derwood, MD 20885"
9/2/2003,9/12/2003,Ridge Rd,Damascus,MD,20872,Comcast,1,,,1,1,,,,,,,,Complaint,"Ridge Rd
Damascus, MD 20872"
9/2/2003,9/6/2003,Fox Hill Trail,Potomac,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Fox Hill Trail
Potomac, MD 20854"
9/2/2003,9/6/2003,Lost Knife Cir #103,Montgomery Village,MD,20886,Comcast,1,,,,,,1,,,,,,Complaint,"Lost Knife Cir #103
Montgomery Village, MD 20886"
9/2/2003,9/6/2003,Keats Ter,Derwood,MD,20885,Comcast,,,1,,1,,,,,,,,Complaint,"Keats Ter
Derwood, MD 20885"
9/2/2003,9/9/2003,Rock Forest Dr #408,Bethesda,MD,20817,Comcast,,1,1,,1,,,,,,,,Complaint,"Rock Forest Dr #408
Bethesda, MD 20817"
9/2/2003,9/9/2003,Bear Creek Dr,Boyds,MD,20841,Comcast,,,1,,1,,,,,,,,Complaint,"Bear Creek Dr
Boyds, MD 20841"
9/3/2003,10/17/2003,Springer Rd,Bethesda,MD,20817,Comcast,,,1,,,,,,,,,,Complaint,"Springer Rd
Bethesda, MD 20817"
9/3/2003,9/23/2003,Whites Rd,Poolesville,MD,20837,Comcast,,1,1,,,,,,,,,,Complaint,"Whites Rd
Poolesville, MD 20837"
9/3/2003,9/9/2003,Custer Rd,Bethesda,MD,20814,Comcast,,,1,,,,,,,,,,Complaint,"Custer Rd
Bethesda, MD 20814"
9/3/2003,9/4/2003,Hermitage Av,Silver Spring,MD,20902,Comcast,,,,,,,,,,,,,Complaint,"Hermitage Av
Silver Spring, MD 20902"
9/3/2003,9/5/2003,Camellia Dr,Silver Spring,MD,20906,Comcast,,,1,,,,,,,,,,Complaint,"Camellia Dr
Silver Spring, MD 20906"
9/3/2003,9/30/2003,Stable Ln,Potomac,MD,20854,Comcast,,,,,,1,,,,,,,Complaint,"Stable Ln
Potomac, MD 20854"
9/3/2003,9/5/2003,Roman Wy,Montgomery Village,MD,20886,Comcast,,1,1,,,,,,,,,,Complaint,"Roman Wy
Montgomery Village, MD 20886"
9/3/2003,9/9/2003,Beacon Hill Ter,Gaithersburg,MD,20878,Comcast,,,,1,1,,,,,,,,Complaint,"Beacon Hill Ter
Gaithersburg, MD 20878"
9/3/2003,9/17/2003,Riverwood Dr,Potomac,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Riverwood Dr
Potomac, MD 20854"
9/3/2003,9/5/2003,Newbridge Dr,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Newbridge Dr
Potomac, MD 20854"
9/3/2003,9/23/2003,Hackamore Dr,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Hackamore Dr
Potomac, MD 20854"
9/3/2003,9/5/2003,Spring Habor Pl,Germantown,MD,20874,Comcast,,,,1,,,,,,,,,Complaint,"Spring Habor Pl
Germantown, MD 20874"
9/3/2003,9/8/2003,Shelldrake Ct,Damascus,MD,20872,Comcast,,,,,1,,,,,,,,Complaint,"Shelldrake Ct
Damascus, MD 20872"
9/3/2003,9/11/2003,Quintana Ct,Bethesda,MD,20817,Comcast,,,1,,1,,,,,,,,Complaint,"Quintana Ct
Bethesda, MD 20817"
9/3/2003,9/6/2003,Leafcup Rd,Gaithersburg,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Leafcup Rd
Gaithersburg, MD 20878"
9/3/2003,9/5/2003,Barstow Ct,Potomac,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Barstow Ct
Potomac, MD 20854"
9/3/2003,9/9/2003,Hidden Hill Ct,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Hidden Hill Ct
Potomac, MD 20854"
9/3/2003,9/8/2003,Blueridge Av,Wheaton,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Blueridge Av
Wheaton, MD 20902"
9/3/2003,9/5/2003,Freas Dr,North Potomac,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Freas Dr
North Potomac, MD 20878"
9/4/2003,9/12/2003,St Elmo Av,Bethesda,MD,20814,Comcast,,,1,,,,,,,,,,Complaint,"St Elmo Av
Bethesda, MD 20814"
9/4/2003,9/9/2003,Greencastle Rd,Burtonsville,MD,20866,Comcast,,,,,1,,,,,,,,Complaint,"Greencastle Rd
Burtonsville, MD 20866"
9/4/2003,10/17/2003,Box 635,Silver Spring,MD,20918,Comcast,,,1,,,,,,,,,,Complaint,"Box 635
Silver Spring, MD 20918"
9/4/2003,9/9/2003,Sugar Ridge Ter,Boyds,MD,20841,Comcast,,,,,,,,,1,,,,Complaint,"Sugar Ridge Ter
Boyds, MD 20841"
9/4/2003,9/16/2003,Persimmon Tree Rd,Bethesda,MD,20817,Comcast,,,1,,,,,,,,,,Complaint,"Persimmon Tree Rd
Bethesda, MD 20817"
9/4/2003,10/24/2003,Caddy Dr,Derwood,MD,20855,Comcast,1,,1,,1,,,,,,,,Complaint,"Caddy Dr
Derwood, MD 20855"
9/4/2003,9/8/2003,Windy Knoll Ct,Rockville,MD,20850,Comcast,,,,,1,,,,,,,,Complaint,"Windy Knoll Ct
Rockville, MD 20850"
9/4/2003,9/8/2003,Newbold Dr,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Newbold Dr
Bethesda, MD 20817"
9/4/2003,9/11/2003,Bentridge Ave,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Bentridge Ave
Potomac, MD 20854"
9/4/2003,9/12/2003,Bedfordshire Av,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Bedfordshire Av
Potomac, MD 20854"
9/5/2003,9/8/2003,Flower Hill Wy,Gaithersburg,MD,20879,Comcast,1,,,,,,1,,,,,,Complaint,"Flower Hill Wy
Gaithersburg, MD 20879"
9/5/2003,9/8/2003,Shadowridge Ct,Olney,MD,20832,Comcast,1,,,,,,,,,,,,Complaint,"Shadowridge Ct
Olney, MD 20832"
9/5/2003,11/18/2003,Denit Estates Dr,Brookeville,MD,20833,Comcast,,,1,,,,,,,,,,Complaint,"Denit Estates Dr
Brookeville, MD 20833"
9/5/2003,9/8/2003,Baltimore Av,Bethesda,MD,20816,Comcast,,,1,,,,,,,,,,Complaint,"Baltimore Av
Bethesda, MD 20816"
9/5/2003,9/9/2003,Glenmore Dr,Chevy Chase,MD,20815,Comcast,1,,,1,,,,,,,,,Complaint,"Glenmore Dr
Chevy Chase, MD 20815"
9/5/2003,9/12/2003,Coldstream Dr,Potomac,MD,20854,Comcast,,1,1,,,,,,,,,,Complaint,"Coldstream Dr
Potomac, MD 20854"
9/5/2003,9/23/2003,Gershwin Wy,Silver Spring,MD,20904,Comcast,1,,,,,,1,,,,,,Complaint,"Gershwin Wy
Silver Spring, MD 20904"
9/5/2003,9/10/2003,Montrose Rd N-501,Rockville,MD,20852,Comcast,1,,,,,,,,,,,,Complaint,"Montrose Rd N-501
Rockville, MD 20852"
9/5/2003,9/8/2003,Dimes Rd,Rockville,MD,20855,Comcast,,,1,,1,,,,,,,,Complaint,"Dimes Rd
Rockville, MD 20855"
9/5/2003,10/17/2003,Overbrook Rd,Bethesda,MD,20816,Comcast,,,1,,,,,,,,,,Complaint,"Overbrook Rd
Bethesda, MD 20816"
9/5/2003,9/8/2003,New Mark Esplanade,Rockville,MD,20850,Comcast,,,1,,,,,,,,,,Complaint,"New Mark Esplanade
Rockville, MD 20850"
9/8/2003,9/16/2003,Towne Crest Dr,Gaithersburg,MD,20878,Comcast,,,1,,1,,,,,,,,Complaint,"Towne Crest Dr
Gaithersburg, MD 20878"
9/8/2003,9/12/2003,Windcroft Wy,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Windcroft Wy
Potomac, MD 20854"
9/8/2003,9/30/2003,Calwood Wy,Rockville,MD,20852,Comcast,,,,,,1,,,,,,,Complaint,"Calwood Wy
Rockville, MD 20852"
9/8/2003,9/29/2003,Grafton Farm Dr,Laytonsville,MD,20882,Comcast,1,,,,,,1,,,,,,Complaint,"Grafton Farm Dr
Laytonsville, MD 20882"
9/8/2003,9/9/2003,Glenville Rd,Silver Spring,MD,20901,Starpower,1,,,,,,,,,,,,Complaint,"Glenville Rd
Silver Spring, MD 20901"
9/8/2003,9/23/2003,Spring Meadows Dr,Darnestown,MD,20874,Comcast,,,1,,,,,,,,,,Complaint,"Spring Meadows Dr
Darnestown, MD 20874"
9/8/2003,10/10/2003,Greenspring Ln,Silver Spring,MD,20904,Comcast,,,,,,,,1,,,,,Complaint,"Greenspring Ln
Silver Spring, MD 20904"
9/8/2003,12/19/2003,New London Dr,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"New London Dr
Potomac, MD 20854"
9/8/2003,9/26/2003,Comanche Ct,Bethesda,MD,20817,Comcast,,,1,,,,,,,,,,Complaint,"Comanche Ct
Bethesda, MD 20817"
9/9/2003,9/15/2003,Tabiona Cir,Silver Spring,MD,20906,Comcast,,,1,,1,,,,,,,,Complaint,"Tabiona Cir
Silver Spring, MD 20906"
9/9/2003,10/9/2003,Scotch Mist Dr,Rockville,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Scotch Mist Dr
Rockville, MD 20854"
9/9/2003,9/12/2003,Little Haven Ct,Olney,MD,20832,Comcast,,,1,1,,,,,,,,,Complaint,"Little Haven Ct
Olney, MD 20832"
9/9/2003,9/10/2003,Byants Nursery Rd,Silver Spring,MD,20905,Comcast,,,,,1,,,,,,,,Complaint,"Byants Nursery Rd
Silver Spring, MD 20905"
9/9/2003,9/10/2003,Brickyard Rd,Potomac,MD,20854,Comcast,,,,,,,,1,,,,,Complaint,"Brickyard Rd
Potomac, MD 20854"
9/9/2003,9/16/2003,Sunflower Dr,Rockville,MD,20853,Comcast,,1,,,1,,,,,,,,Complaint,"Sunflower Dr
Rockville, MD 20853"
9/9/2003,9/12/2003,Endicott Ct,Bethesda,MD,20817,Comcast,,,,,,1,,,,,,,Complaint,"Endicott Ct
Bethesda, MD 20817"
9/9/2003,9/10/2003,Fenway Rd,Bethesda,MD,20817,Comcast,,,1,1,,,,,,,,,Complaint,"Fenway Rd
Bethesda, MD 20817"
9/9/2003,9/12/2003,Bowie Rd,Rockville,MD,20852,Comcast,,,,,1,,,,,,,,Complaint,"Bowie Rd
Rockville, MD 20852"
9/9/2003,9/29/2003,Friendlywood Rd,Burtonsville,MD,20866,Comcast,,,1,,,,,,,,,,Complaint,"Friendlywood Rd
Burtonsville, MD 20866"
9/9/2003,9/23/2003,Plyers Mill Rd,Kensington,MD,20895,Comcast,,,,,1,,,,,,,,Complaint,"Plyers Mill Rd
Kensington, MD 20895"
9/10/2003,10/14/2003,Clearwater Dr,Bethesda,MD,20817,Comcast,,1,1,,,,,,,,,,Complaint,"Clearwater Dr
Bethesda, MD 20817"
9/10/2003,9/12/2003,Farm Haven Dr,Rockville,MD,20852,Comcast,,,,,,1,,,,,,,Complaint,"Farm Haven Dr
Rockville, MD 20852"
9/10/2003,10/8/2003,N Park Av #1220,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"N Park Av #1220
Chevy Chase, MD 20815"
9/10/2003,9/24/2003,Clewerwall Dr,Bethesda,MD,20817,Comcast,,1,1,,1,,,,,,,,Complaint,"Clewerwall Dr
Bethesda, MD 20817"
9/10/2003,9/10/2003,Bells Ridge Ter,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Bells Ridge Ter
Potomac, MD 20854"
9/10/2003,9/16/2003,Dun Horse Ln,Derwood,MD,20855,Comcast,,,,,1,,,,,,,,Complaint,"Dun Horse Ln
Derwood, MD 20855"
9/10/2003,9/16/2003,John Carroll Dr,Olney,MD,20832,Comcast,,,,,1,,,,,,,,Complaint,"John Carroll Dr
Olney, MD 20832"
9/10/2003,10/1/2003,Chevy Chase Dr,Chevy Chase,MD,20815,Comcast,,,1,1,1,,,,,,,,Complaint,"Chevy Chase Dr
Chevy Chase, MD 20815"
9/11/2003,9/26/2003,Carrolton Rd,Rockville,MD,20853,Comcast,,,1,1,,,,,,,,,Complaint,"Carrolton Rd
Rockville, MD 20853"
9/11/2003,9/12/2003,Interlachen Dr #716,Silver Spring,MD,20906,Comcast,,,,,,,,,,,,1,Complaint,"Interlachen Dr #716
Silver Spring, MD 20906"
9/11/2003,9/15/2003,Arctic Av,Rockville,MD,20853,Comcast,1,,,,,,,,,,,,Complaint,"Arctic Av
Rockville, MD 20853"
9/11/2003,9/16/2003,Sundance Ct,Potomac,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Sundance Ct
Potomac, MD 20854"
9/11/2003,12/11/2003,Good Meadow Ct,Gaithersburg,MD,20878,Comcast,,,,1,,,,,,,,1,Complaint,"Good Meadow Ct
Gaithersburg, MD 20878"
9/11/2003,9/16/2003,Dickerson Church Rd,Dickerson,MD,20842,Comcast,,,,,,,,,,,,1,Complaint,"Dickerson Church Rd
Dickerson, MD 20842"
9/11/2003,10/9/2003,Clarksburg Rd,Damascus,MD,20872,Comcast,,,1,,,,,,,,,,Complaint,"Clarksburg Rd
Damascus, MD 20872"
9/11/2003,10/10/2003,Highland Hall Dr,Montgomery Village,MD,20886,Comcast,,,1,,1,,,,,,,,Complaint,"Highland Hall Dr
Montgomery Village, MD 20886"
9/12/2003,9/16/2003,Woodbine St,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"Woodbine St
Chevy Chase, MD 20815"
9/12/2003,9/16/2003,Carlynn Dr,Bethesda,MD,20817,Comcast,,,1,1,,,,,,,,,Complaint,"Carlynn Dr
Bethesda, MD 20817"
9/12/2003,9/23/2003,Glenrose St,Kensington,MD,20895,Comcast,,,1,,1,,,,,,,,Complaint,"Glenrose St
Kensington, MD 20895"
9/12/2003,10/9/2003,Easecrest Dr,Silver Spring,MD,20902,Comcast,,,,,1,,,,,,,,Complaint,"Easecrest Dr
Silver Spring, MD 20902"
9/12/2003,9/16/2003,Bauer Dr,Rockville,MD,20853,Comcast,1,,,,,,,,,,,,Complaint,"Bauer Dr
Rockville, MD 20853"
9/12/2003,9/30/2003,Cypress Frove Ln,Cabin John,MD,20818,Comcast,,,1,,,,,,,,,,Complaint,"Cypress Frove Ln
Cabin John, MD 20818"
9/12/2003,9/24/2003,Dew Wood Dr,Derwood,MD,20855,Comcast,1,,,,,,,,,,,,Complaint,"Dew Wood Dr
Derwood, MD 20855"
9/12/2003,10/14/2003,Drew Ct,Potomac,MD,20854,Comcast,,,1,,,,,,,,,,Complaint,"Drew Ct
Potomac, MD 20854"
9/12/2003,9/16/2003,Bacall Ln,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Bacall Ln
Potomac, MD 20854"
9/12/2003,9/15/2003,Monterrey Dr,Silver Spring,MD,20902,Comcast,1,,,1,,,,,,,,,Complaint,"Monterrey Dr
Silver Spring, MD 20902"
9/12/2003,10/20/2003,Smallwood Rd,Rockville,MD,20850,Comcast,,,1,1,1,,,,,,,,Complaint,"Smallwood Rd
Rockville, MD 20850"
9/12/2003,10/8/2003,Pond Rd,Ashton,MD,20861,Comcast,,1,1,,,,,,,,,,Complaint,"Pond Rd
Ashton, MD 20861"
9/15/2003,10/9/2003,Saffron Lane,Silver Spring,MD,20901,Comcast,,,,,,1,,,,,,,Complaint,"Saffron Lane
Silver Spring, MD 20901"
9/15/2003,9/17/2003,Park Overlook Dr,Bethesda,MD,20817,Comcast,1,,1,,,,,,,,,,Complaint,"Park Overlook Dr
Bethesda, MD 20817"
9/15/2003,9/22/2003,Huntmaster Rd,Gaithersburg,MD,20882,Comcast,,,1,,,,,,,,,,Complaint,"Huntmaster Rd
Gaithersburg, MD 20882"
9/16/2003,10/9/2003,Novak Ter,Burtonsville,MD,20866,Comcast,,,,,1,,,,,,,,Complaint,"Novak Ter
Burtonsville, MD 20866"
9/16/2003,9/19/2003,Trafton Pl,Bethesda,MD,20817,Comcast,,,1,1,,,,,,,,,Complaint,"Trafton Pl
Bethesda, MD 20817"
9/16/2003,9/16/2003,Sweet Meadow Ct,Laytonsville,MD,20882,Comcast,,1,1,,1,,,,,,,,Complaint,"Sweet Meadow Ct
Laytonsville, MD 20882"
9/16/2003,10/10/2003,Barn Wood Ln,Potomac,MD,20854,Comcast,,1,1,1,1,,,,,,,,Complaint,"Barn Wood Ln
Potomac, MD 20854"
9/16/2003,9/19/2003,Oxfordshire Ter,Olney,MD,20832,Comcast,1,,,,,,1,,,,,,Complaint,"Oxfordshire Ter
Olney, MD 20832"
9/16/2003,10/9/2003,Beech Hill Dr,Bethesda,MD,20817,Comcast,,1,1,,1,,,,,,,,Complaint,"Beech Hill Dr
Bethesda, MD 20817"
9/16/2003,9/17/2003,Graybill Dr,Burtonsville,MD,20866,Comcast,,1,1,,1,,,,,,,,Complaint,"Graybill Dr
Burtonsville, MD 20866"
9/16/2003,9/17/2003,E  Walnut St #35,Lancaster,PA,17603,Comcast,1,,,,,,,,,,,,Complaint,"E Walnut St #35
Lancaster, PA 17603"
9/16/2003,10/7/2003,Guildberry Dr #301,Gaithersburg,MD,20879,Comcast,,1,1,,,,,,,,,,Complaint,"Guildberry Dr #301
Gaithersburg, MD 20879"
9/16/2003,9/24/2003,Fairfax Rd,Bethesda,MD,20814,Comcast,,1,1,,,,,,,,,,Complaint,"Fairfax Rd
Bethesda, MD 20814"
9/16/2003,10/16/2003,Piney Spring Ln,Potomac,MD,20854,Comcast,,,1,1,,,,,,,,,Complaint,"Piney Spring Ln
Potomac, MD 20854"
9/16/2003,10/30/2003,Tomlinson Ter,Cabin John,MD,20818,Comcast,,1,1,,,,,,,,,,Complaint,"Tomlinson Ter
Cabin John, MD 20818"
9/16/2003,9/30/2003,Westview Ter,Silver Spring,MD,20910,Comcast,,,,,,1,,,,,,,Complaint,"Westview Ter
Silver Spring, MD 20910"
9/16/2003,9/16/2003,Carlynn Ct,Bethesda,MD,20817,Comcast,,1,1,,,,,,,,,,Complaint,"Carlynn Ct
Bethesda, MD 20817"
9/16/2003,10/28/2003,Forsythia Ter,Burtonsville,MD,20866,Comcast,,,,,,1,,,,,,,Complaint,"Forsythia Ter
Burtonsville, MD 20866"
9/17/2003,9/30/2003,Deer Ridge Dr,Silver Spring,MD,20904,Comcast,,,1,1,,,,,,,,,Complaint,"Deer Ridge Dr
Silver Spring, MD 20904"
9/17/2003,10/9/2003,Octavia Ct,Montgomery Village,MD,20886,Comcast,,1,1,,1,,,,,,,,Complaint,"Octavia Ct
Montgomery Village, MD 20886"
9/17/2003,10/1/2003,Cloister Dr,Rockville,MD,20852,Comcast,1,,,,1,,,,,,,,Complaint,"Cloister Dr
Rockville, MD 20852"
9/17/2003,9/19/2003,Thorndike Dr,Gaithersburg,MD,20882,Comcast,,,1,,,,,,,,,,Complaint,"Thorndike Dr
Gaithersburg, MD 20882"
9/18/2003,10/23/2003,Montgomery Av Suite 1215 North,Bethesda,MD,20814,Comcast,,,1,,,,,,,,,,Complaint,"Montgomery Av Suite 1215 North
Bethesda, MD 20814"
9/18/2003,9/19/2003,Hershfield Ct,Silver Spring,MD,20904,Comcast,1,,,,,,,,,,,,Complaint,"Hershfield Ct
Silver Spring, MD 20904"
9/18/2003,9/19/2003,Wheatfall Dr,Derwood,MD,20855,Comcast,,,1,,,,,,,,,,Complaint,"Wheatfall Dr
Derwood, MD 20855"
9/22/2003,10/17/2003,Log House Rd,Damascus,MD,20882,Comcast,,,1,,,,,,,,,,Complaint,"Log House Rd
Damascus, MD 20882"
9/22/2003,10/2/2003,Good Hope RD,Silver Spring,MD,20905,Comcast,1,,,,,,,,,,,1,Complaint,"Good Hope RD
Silver Spring, MD 20905"
9/22/2003,9/22/2003,Saint Albert Ter,Brookeville,MD,20833,Comcast,1,,,,,,,,,,,,Complaint,"Saint Albert Ter
Brookeville, MD 20833"
9/22/2003,9/23/2003,Dahill Rd,Silver Spring,MD,20906,Comcast,1,,,1,,,,,,,,,Complaint,"Dahill Rd
Silver Spring, MD 20906"
9/23/2003,10/1/2003,Dudley Ln #201,Bethesda,MD,20814,Comcast,,1,1,,,,,,,,,,Complaint,"Dudley Ln #201
Bethesda, MD 20814"
9/23/2003,9/23/2003,Eccleston St,Silver Spring,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Eccleston St
Silver Spring, MD 20902"
9/23/2003,9/23/2003,Oak Bluff Ct,Montgomery Village,MD,20886,Comcast,1,,,,,,,,,,,,Complaint,"Oak Bluff Ct
Montgomery Village, MD 20886"
9/23/2003,10/9/2003,Darby Pl,Bethesda,MD,20817,Comcast,,1,1,,,,,,,,,,Complaint,"Darby Pl
Bethesda, MD 20817"
9/23/2003,9/23/2003,Tuckerman Ln,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Tuckerman Ln
Potomac, MD 20854"
9/23/2003,10/14/2003,Pissaro Dr,North Potomac,MD,20878,Comcast,,,1,,1,,,,,,,,Complaint,"Pissaro Dr
North Potomac, MD 20878"
9/23/2003,9/23/2003,Sandy Knoll Dr,Olney,MD,20832,Comcast,1,,,,,,,,,,,,Complaint,"Sandy Knoll Dr
Olney, MD 20832"
9/23/2003,9/23/2003,Fairhaven Dr,Gaithersburg,MD,20877,Comcast,1,,,,,,,,,,,,Complaint,"Fairhaven Dr
Gaithersburg, MD 20877"
9/23/2003,9/23/2003,Custis Dr,Rockville,MD,20853,Comcast,1,,,,,,,,,,,,Complaint,"Custis Dr
Rockville, MD 20853"
9/23/2003,9/23/2003,Maple Ave. #1208,Takoma Park,MD,20912,Comcast,1,,,,,,,,,,,,Complaint,"Maple Ave. #1208
Takoma Park, MD 20912"
9/23/2003,9/23/2003,Georgia Av #302,Silver Spring,MD,20906,Comcast,1,,,,,,,,,,,,Complaint,"Georgia Av #302
Silver Spring, MD 20906"
9/23/2003,9/23/2003,Georgian Woods Pl #32,Wheaton,MD,20902,Comcast,1,,,,,,,,,,,,Complaint,"Georgian Woods Pl #32
Wheaton, MD 20902"
9/23/2003,9/23/2003,Stratton Dr,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Stratton Dr
Potomac, MD 20854"
9/23/2003,9/23/2003,Jensen Pl,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Jensen Pl
Bethesda, MD 20817"
9/23/2003,9/25/2003,Dairymaid Dr,Germantown,MD,20874,Comcast,,,1,,1,,,,,,,,Complaint,"Dairymaid Dr
Germantown, MD 20874"
9/23/2003,9/23/2003,Dovedale Wy K,Germantown,MD,20874,Comcast,1,,,,,,,,,,,,Complaint,"Dovedale Wy K
Germantown, MD 20874"
9/23/2003,9/23/2003,Quintana Ct,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Quintana Ct
Bethesda, MD 20817"
9/23/2003,9/29/2003,Westlake Ter #1101,Bethesda,MD,20817,Comcast,1,,,,,,,,,,,,Complaint,"Westlake Ter #1101
Bethesda, MD 20817"
9/24/2003,9/24/2003,Grist Mill Dr,Rockville,MD,20855,Comcast,1,,,,,,,,,,,,Complaint,"Grist Mill Dr
Rockville, MD 20855"
9/24/2003,9/25/2003,River Rd #1011,Bethesda,MD,20816,Comcast,1,,,,,,,,,,,,Complaint,"River Rd #1011
Bethesda, MD 20816"
9/24/2003,9/25/2003,Beaver Ter,Rockville,MD,20853,Comcast,,,,,1,,,,,,,,Complaint,"Beaver Ter
Rockville, MD 20853"
9/24/2003,9/24/2003,Hickory Bend Trail,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Hickory Bend Trail
Potomac, MD 20854"
9/24/2003,10/28/2003,Greenside Ter,Montgomery Village,MD,20886,Comcast,,,,,1,,,,,,,,Complaint,"Greenside Ter
Montgomery Village, MD 20886"
9/24/2003,9/24/2003,Athens Pl,Gaithersburg,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Athens Pl
Gaithersburg, MD 20878"
9/24/2003,9/25/2003,Ivymount Ter,Potomac,MD,20854,Comcast,,,,,1,,,,,,,,Complaint,"Ivymount Ter
Potomac, MD 20854"
9/24/2003,9/24/2003,Kirkside Dr,Chevy Chase,MD,20815,Comcast,1,,,,,,,,,,,,Complaint,"Kirkside Dr
Chevy Chase, MD 20815"
9/24/2003,10/7/2003,Capitol View Av,Silver Spring,MD,20910,Comcast,,,,,1,,,1,,,,,Complaint,"Capitol View Av
Silver Spring, MD 20910"
9/24/2003,9/24/2003,Gooderham Wy,Darnestown,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Gooderham Wy
Darnestown, MD 20878"
9/24/2003,9/24/2003,Edgepark Ct,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Edgepark Ct
Potomac, MD 20854"
9/24/2003,9/24/2003,LaPlata St,Silver Spring,MD,20904,Comcast,1,,,,,,,,,,,,Complaint,"LaPlata St
Silver Spring, MD 20904"
9/24/2003,9/28/2003,Barnesfield Ct,Gaithersburg,MD,20878,Comcast,1,,,,,,,,,,,,Complaint,"Barnesfield Ct
Gaithersburg, MD 20878"
9/24/2003,9/24/2003,Northwood Av,Silver Spring,MD,20901,Comcast,1,,,,,,,,,,,,Complaint,"Northwood Av
Silver Spring, MD 20901"
9/24/2003,9/24/2003,W  Diamond Av #104,Gaithersburg,MD,20877,Comcast,1,,,,,,,,,,,,Complaint,"W Diamond Av #104
Gaithersburg, MD 20877"
9/24/2003,9/24/2003,Park View Rd,Chevy Chase,MD,20815,Comcast,,,1,,1,,,,,,,,Complaint,"Park View Rd
Chevy Chase, MD 20815"
9/25/2003,9/26/2003,Hilton Head Ct,Silver Spring,MD,20905,Comcast,,,,,1,,,,,,,,Complaint,"Hilton Head Ct
Silver Spring, MD 20905"
9/25/2003,9/25/2003,Margate Rd,Silver Spring,MD,20901,Comcast,1,,,,,,,,,,,,Complaint,"Margate Rd
Silver Spring, MD 20901"
9/25/2003,9/26/2003,Chisholm Landing Wy,Gaithersburg,MD,20878,Comcast,,,,,1,,,,,,,,Complaint,"Chisholm Landing Wy
Gaithersburg, MD 20878"
9/25/2003,9/25/2003,Carmelita Dr,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Carmelita Dr
Potomac, MD 20854"
9/25/2003,9/25/2003,Carmelita Dr,Potomac,MD,20854,Comcast,1,,,,,,,,,,,,Complaint,"Carmelita Dr
Potomac, MD 20854"
